"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-05-18","0.00","79",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-05-30","0.00","78",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-08-24","0.00","79",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-09-09","0.00","76",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-02","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-03",,"86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-04",,"81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-07","0.00","79",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-11","0.00","82",,"61"
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-12","0.31","80",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-13","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-14","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-16","0.00","83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-20","0.00","81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-21","0.00","83",,"57"
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-28","0.00","85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-30","0.00","84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1974-12-31","0.00","86",,"64"
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-04-02",,"85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-04-10",,"82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-04-14",,"84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-04-16",,"85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-04-18",,"84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-04-19",,"82",,"73"
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-04-20",,"85",,"72"
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-04-22",,"85",,"73"
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-04-23",,"81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-04-27",,"81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-07-01",,"86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-07-03",,"84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-07-04",,"88",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-07-06",,"86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-07-08",,"83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-07-09",,"83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-07-10",,"83",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-07-20",,"81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-07-26",,"83","88",
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-07-31",,"81",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-08-03",,"84",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-08-08",,"89",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-08-09",,"86",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-08-10",,"88",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-08-15",,"82",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-08-16",,"85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-08-17",,"87",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-08-18",,"85",,
"IDM00096741","JAKARTA TANJUNG PRIOK, ID","1975-08-19",,"85",,
